CategoryID	ChannelID	ViewCount	CountryCode	Title
10	UCVp3nfGRxmMadNDuVbJSk8A	3012444576	GB	Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
10	UCEf_Bc-KVd7onSeifS3py9g	39306155	GB	EXO_Ko Ko Bop_Music Video
17	UCRijo3ddMTht_IHyNSNXpNQ	32691741	GB	Giant Warship Battle | Dude Perfect
17	UCRijo3ddMTht_IHyNSNXpNQ	32074145	GB	Golf Stereotypes
24	UCT2X19JJaJGUN7mrYuImANQ	8485262	GB	Johnny Manuel: Guy Covers Whitney Houston's "I Have Nothing" - America's Got Talent 2017
24	UCT2X19JJaJGUN7mrYuImANQ	30303840	GB	Darci Lynne: 12-Year-Old Singing Ventriloquist Gets Golden Buzzer - America's Got Talent 2017
23	UCa6vGFO9ty8v5KZJXQxdhaw	45335352	GB	Celebrities Read Mean Tweets #5
10	UC0C-w0YjGpqDXGB8IHb662A	697109635	GB	Ed Sheeran - Shape Of You [Official Lyric Video]
10	UC20vb-R_px4CguHzzBPhoyQ	1004573158	GB	Eminem - Not Afraid
10	UC6MfFxrAK-e4HcgJROvDJDg	338550274	GB	Zara Larsson, MNEK - Never Forget You
10	UC0C-w0YjGpqDXGB8IHb662A	38962770	GB	Ed Sheeran - Save Myself [Official Audio]
24	UCT2X19JJaJGUN7mrYuImANQ	20756594	GB	Mandy Harvey: Deaf Singer Earns Simon's Golden Buzzer With Original Song - America's Got Talent 2017
10	UCoUM-UJ7rirJYP8CQ0EIaHA	813021624	GB	Bruno Mars - That’s What I Like [Official Video]
24	UCvC4D8onUfXzvjTOM-dBfEA	42514585	GB	Thor: Ragnarok Teaser Trailer [HD]
24	UCT2X19JJaJGUN7mrYuImANQ	28189124	GB	Celine Tam: 9-Year-Old Stuns Crowd with "My Heart Will Go On" - America's Got Talent 2017
24	UCIEv3lZ_tNXHzL3ox-_uUGQ	15264178	GB	Cooking in Disguise - Gordon Ramsay
24	UC9SVhrnsGxWwiBRWT9c7Ozw	17934717	GB	It's Muffin Time! (Song with samples from asdfmovie8) - Roomie
10	UC20vb-R_px4CguHzzBPhoyQ	1367234621	GB	Eminem - Love The Way You Lie ft. Rihanna
10	UC20vb-R_px4CguHzzBPhoyQ	452667225	GB	Eminem - Without Me
10	UCwppdrjsBPAZg5_cUwQjfMQ	321225710	DE	Charlie Puth - Attention [Official Video]
10	UCZU9T1ceaOgwfLRq7OKFU4Q	140422594	DE	Breaking The Habit (Official Video) - Linkin Park
10	UCZU9T1ceaOgwfLRq7OKFU4Q	616573123	DE	Numb (Official Video) - Linkin Park
10	UCR5BwOS3Gb4uQtxRYRUQ7ng	39634076	DE	Louis Tomlinson - Back to You (Official Video) ft. Bebe Rexha, Digital Farm Animals
10	UCZU9T1ceaOgwfLRq7OKFU4Q	379672622	DE	In The End (Official Video) - Linkin Park
10	UCZU9T1ceaOgwfLRq7OKFU4Q	289759290	DE	What I've Done (Official Video) - Linkin Park
10	UC0C-w0YjGpqDXGB8IHb662A	376048280	DE	Ed Sheeran - Photograph (Official Music Video)
10	UC20vb-R_px4CguHzzBPhoyQ	301213015	DE	Eminem - Mockingbird
10	UCsuNF5l7GRF4RboY13z5r2w	18500816	DE	Cali Y El Dandee - La Estrategia
10	UCwppdrjsBPAZg5_cUwQjfMQ	1346774498	DE	Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
10	UC0C-w0YjGpqDXGB8IHb662A	182759615	DE	Ed Sheeran - Galway Girl [Official Video]
10	UCXYRdIXDdeZIf816EWAr5zQ	28719675	DE	MACKLEMORE FEAT SKYLAR GREY - GLORIOUS (OFFICIAL MUSIC VIDEO)
10	UCRzzwLpLiUNIs6YOPe33eMg	595723462	DE	The Chainsmokers & Coldplay - Something Just Like This (Lyric)
24	UCEdvpU2pFRCVqU6yIPyTpMQ	514781741	DE	Marshmello - Alone (Official Music Video)
10	UChcn-n6L8vYHzsqOwOubdRQ	32031365	DE	Carlos Vives, Sebastian Yatra - Robarte un Beso (Official Video)
10	UCC6sWkXNQqyS2r6u6xQ_GdQ	163511936	DE	Jonas Blue - Mama ft. William Singe
10	UCFzm6oAGFmmZfkrzQ5wATSQ	47633656	DE	Zedd, Alessia Cara - Stay (Official Music Video)
24	UCT2X19JJaJGUN7mrYuImANQ	21073870	DE	Demian Aditya: Escape Artist Risks His Life During AGT Audition - America's Got Talent 2017
10	UCrHL_BF5lHyK43BxLU8-vBQ	334985534	DE	J. Balvin, Willy William - Mi Gente (Official Video)
10	UC0C-w0YjGpqDXGB8IHb662A	163490943	DE	Ed Sheeran - Perfect [Official Audio]
17	UCRijo3ddMTht_IHyNSNXpNQ	11450366	DE	Nerf Slip and Slide Battle | Dude Perfect
10	UCANLZYMidaCbLQFWXBC95Jg	740190190	DE	Taylor Swift - You Belong With Me
17	UCRijo3ddMTht_IHyNSNXpNQ	23682170	DE	Card Throwing Trick Shots | Dude Perfect
17	UCRijo3ddMTht_IHyNSNXpNQ	56729516	DE	Pickup Basketball Stereotypes
24	UCWOA1ZGywLbqmigxE4Qlvuw	9112497	DE	Stranger Things | Season 2 Comic Con "Thriller" Trailer [HD] | Netflix
10	UC0C-w0YjGpqDXGB8IHb662A	210480343	DE	Ed Sheeran - Castle On The Hill [Official Video]
10	UCVp3nfGRxmMadNDuVbJSk8A	3012444576	DE	Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
10	UCEf_Bc-KVd7onSeifS3py9g	39306155	DE	EXO_Ko Ko Bop_Music Video
17	UCRijo3ddMTht_IHyNSNXpNQ	32691741	DE	Giant Warship Battle | Dude Perfect
17	UCRijo3ddMTht_IHyNSNXpNQ	32074145	DE	Golf Stereotypes
24	UCT2X19JJaJGUN7mrYuImANQ	8485262	DE	Johnny Manuel: Guy Covers Whitney Houston's "I Have Nothing" - America's Got Talent 2017
24	UCT2X19JJaJGUN7mrYuImANQ	30303840	DE	Darci Lynne: 12-Year-Old Singing Ventriloquist Gets Golden Buzzer - America's Got Talent 2017
23	UCa6vGFO9ty8v5KZJXQxdhaw	45335352	DE	Celebrities Read Mean Tweets #5
10	UC0C-w0YjGpqDXGB8IHb662A	697109635	DE	Ed Sheeran - Shape Of You [Official Lyric Video]
10	UC20vb-R_px4CguHzzBPhoyQ	1004573158	DE	Eminem - Not Afraid
10	UC6MfFxrAK-e4HcgJROvDJDg	338550274	DE	Zara Larsson, MNEK - Never Forget You
24	UCT2X19JJaJGUN7mrYuImANQ	20756594	DE	Mandy Harvey: Deaf Singer Earns Simon's Golden Buzzer With Original Song - America's Got Talent 2017
10	UCoUM-UJ7rirJYP8CQ0EIaHA	813021624	DE	Bruno Mars - That’s What I Like [Official Video]
24	UCvC4D8onUfXzvjTOM-dBfEA	42514585	DE	Thor: Ragnarok Teaser Trailer [HD]
24	UCT2X19JJaJGUN7mrYuImANQ	28189124	DE	Celine Tam: 9-Year-Old Stuns Crowd with "My Heart Will Go On" - America's Got Talent 2017
10	UC20vb-R_px4CguHzzBPhoyQ	1367234621	DE	Eminem - Love The Way You Lie ft. Rihanna
10	UC20vb-R_px4CguHzzBPhoyQ	452667225	DE	Eminem - Without Me
10	UCgwv23FVv3lqh567yagXfNg	30820665	DE	It's Goin' Down (From "Descendants 2")
17	UCRijo3ddMTht_IHyNSNXpNQ	24924465	DE	DPHQ2 Tour | Dude Perfect
23	UCxSz6JVYmzVhtkraHWZC7HQ	5213363	DE	MEETING MY STYLIST!! NAKED WITH CARLOS!
10	UC9HnKwLco0wfmmHJT4KOjJw	28891144	DE	Kesha - Praying (Official Video)
10	UCLp8RBhQHu9wSsq62j_Md6A	139809695	DE	Luis Fonsi, Juan Luis Guerra - Llegaste Tú
10	UC0C-w0YjGpqDXGB8IHb662A	2034958156	DE	Ed Sheeran - Shape of You [Official Video]
10	UCpx_k19S2vUutWUUM9qmXEg	106643416	DE	Imagine Dragons - Thunder
10	UCcN-NDV03eHs6oLd1pe2r8w	95833305	DE	Khalid - Location
10	UCwppdrjsBPAZg5_cUwQjfMQ	321225710	NG	Charlie Puth - Attention [Official Video]
10	UCZU9T1ceaOgwfLRq7OKFU4Q	140422594	NG	Breaking The Habit (Official Video) - Linkin Park
10	UCZU9T1ceaOgwfLRq7OKFU4Q	616573123	NG	Numb (Official Video) - Linkin Park
10	UCR5BwOS3Gb4uQtxRYRUQ7ng	39634076	NG	Louis Tomlinson - Back to You (Official Video) ft. Bebe Rexha, Digital Farm Animals
10	UCZU9T1ceaOgwfLRq7OKFU4Q	379672622	NG	In The End (Official Video) - Linkin Park
10	UCZU9T1ceaOgwfLRq7OKFU4Q	289759290	NG	What I've Done (Official Video) - Linkin Park
10	UC0C-w0YjGpqDXGB8IHb662A	376048280	NG	Ed Sheeran - Photograph (Official Music Video)
10	UC20vb-R_px4CguHzzBPhoyQ	301213015	NG	Eminem - Mockingbird
